"","Player.Name","Salary","Position","Age","Team","Games Played","Games Started","Minutes Played","Field Goals Made","Field Goals Attempted","FG..x","3-Pointers Made","X3P..x","2-Pointers Made","X2P..x","eFG.","Free-Throws Made","FTA.x","FT..x","PTS.x","Total.Minutes","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","Is_NBA","X2022.Signing","PTS.y","FG..y","X2P..y","X3P..y","FTA.y","FT..y","3-Pointers Attempted","2-Pointers Attempted","Free-Throws Attempted","Offensive Rebounds","Defensive Rebounds","Total Rebounds","Assists","Steals","Blocks","Turnovers","Personal Fouls"
"1","Stephen Curry",48070014,"PG",34,"GSW",56,56,34.7,10,20.2,0.493,4.9,0.427,5.1,0.579,0.614,4.6,5,0.915,29.4,1941,24.1,0.656,0.564,0.248,2.3,16.8,9.7,30,1.3,0.9,12.5,31,5.8,2,7.8,0.192,7.5,0.1,7.5,4.7,1,NA,NA,NA,NA,NA,NA,NA,11.4,8.8,5,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1
"2","John Wall",47345760,"PG",32,"LAC",34,3,22.2,4.1,9.9,0.408,1,0.303,3.1,0.459,0.457,2.3,3.3,0.681,11.4,755,13.6,0.498,0.322,0.334,2.1,11.4,6.8,35.3,1.8,1.4,17.1,27,-0.4,0.7,0.3,0.02,-0.8,-0.4,-1.2,0.1,1,NA,NA,NA,NA,NA,NA,NA,3.2,6.7,3.3,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7
"3","Russell Westbrook",47080179,"PG",34,"LAL/LAC",73,24,29.1,5.9,13.6,0.436,1.2,0.311,4.7,0.487,0.481,2.8,4.3,0.656,15.9,2126,16.1,0.513,0.289,0.317,4.7,16.5,10.8,38.6,1.7,1.3,18.4,27.7,-0.6,2.6,1.9,0.044,0.3,-0.1,0.2,1.2,1,NA,NA,NA,NA,NA,NA,NA,3.9,9.7,4.3,1.2,4.6,5.8,7.5,1,0.5,3.5,2.2
"4","LeBron James",44474988,"PF",38,"LAL",55,54,35.5,11.1,22.2,0.5,2.2,0.321,8.9,0.58,0.549,4.6,5.9,0.768,28.9,1954,23.9,0.583,0.309,0.268,3.7,20.8,12.5,33.5,1.2,1.4,11.6,33.3,3.2,2.4,5.6,0.138,5.5,0.6,6.1,4,1,NA,NA,NA,NA,NA,NA,NA,6.9,15.3,5.9,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6
"5","Kevin Durant",44119845,"PF",34,"BRK/PHO",47,47,35.6,10.3,18.3,0.56,2,0.404,8.3,0.617,0.614,6.5,7.1,0.919,29.1,1672,25.9,0.677,0.267,0.387,1.2,19.5,10.5,24.5,1,3.4,13.4,30.7,4.7,2.1,6.8,0.194,6,1.2,7.1,3.9,1,NA,NA,NA,NA,NA,NA,NA,4.9,13.4,7.1,0.4,6.3,6.7,5,0.7,1.4,3.3,2.1
"6","Bradley Beal",43279250,"SG",29,"WAS",50,50,33.5,8.9,17.6,0.506,1.6,0.365,7.3,0.552,0.551,3.8,4.6,0.842,23.2,1673,19.7,0.593,0.249,0.26,2.8,9.9,6.5,26.6,1.3,1.7,12.9,29.2,2.2,1.2,3.4,0.099,2.9,-1.2,1.8,1.6,1,NA,NA,NA,NA,NA,NA,NA,4.4,13.2,4.6,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1
"7","Kawhi Leonard",42492492,"SF",31,"LAC",52,50,33.6,8.6,16.8,0.512,2,0.416,6.6,0.551,0.572,4.7,5.4,0.871,23.8,1748,23.9,0.623,0.287,0.32,3.7,17.8,10.8,19.6,2,1.4,8.1,27,4.9,2.2,7.1,0.194,5.1,0.9,6.1,3.5,1,NA,NA,NA,NA,NA,NA,NA,4.8,11.9,5.4,1.1,5.4,6.5,3.9,1.4,0.5,1.7,1.6
"8","Paul George",42492492,"SF",32,"LAC",56,56,34.6,8.2,17.9,0.457,2.8,0.371,5.4,0.521,0.536,4.6,5.3,0.871,23.8,1939,19.6,0.588,0.424,0.293,2.6,17,9.9,24.2,2.1,0.9,13.4,29.5,2.3,2.3,4.6,0.114,2.4,0.3,2.8,2.3,1,NA,NA,NA,NA,NA,NA,NA,7.6,10.3,5.3,0.8,5.3,6.1,5.1,1.5,0.4,3.1,2.8
"9","Giannis Antetokounmpo",42492492,"PF",28,"MIL",63,63,32.1,11.2,20.3,0.553,0.7,0.275,10.5,0.596,0.572,7.9,12.3,0.645,31.1,2024,29,0.605,0.134,0.604,7.3,30,19.1,33.2,1.2,2.1,13.2,38.8,4.9,3.7,8.6,0.204,5.8,2.7,8.5,5.4,1,NA,NA,NA,NA,NA,NA,NA,2.7,17.6,12.3,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1
"10","Damian Lillard",42492492,"PG",32,"POR",58,58,36.3,9.6,20.7,0.463,4.2,0.371,5.4,0.574,0.564,8.8,9.6,0.914,32.2,2107,26.7,0.645,0.547,0.464,2.4,12.8,7.6,35,1.2,0.8,11.7,33.8,8.2,0.8,9,0.205,8.3,-1.2,7.1,4.9,1,NA,NA,NA,NA,NA,NA,NA,11.3,9.4,9.6,0.8,4,4.8,7.3,0.9,0.3,3.3,1.9
"11","Klay Thompson",40600080,"SF",32,"GSW",69,69,33,7.9,18.1,0.436,4.4,0.412,3.6,0.47,0.556,1.7,1.9,0.879,21.9,2279,14.7,0.576,0.584,0.105,1.9,11.7,6.9,11,1,1.1,8.6,26.4,1.2,1.9,3.1,0.066,1.5,-1.7,-0.3,1,1,NA,NA,NA,NA,NA,NA,NA,10.6,7.6,1.9,0.6,3.6,4.1,2.4,0.7,0.4,1.8,1.9
"12","Kyrie Irving",38917057,"PG-SG",30,"BRK/DAL",60,60,37.4,9.9,20.1,0.494,3.1,0.379,6.8,0.574,0.572,4.1,4.6,0.905,27.1,2241,22.4,0.613,0.412,0.227,3,12.3,7.7,25.4,1.4,1.7,8.8,28.9,5.4,2,7.4,0.159,4.8,-0.7,4.1,3.5,1,NA,NA,NA,NA,NA,NA,NA,8.3,11.8,4.6,1,4.1,5.1,5.5,1.1,0.8,2.1,2.8
"13","Rudy Gobert",38172414,"C",30,"MIN",70,70,30.7,5.1,7.8,0.659,0,0,5.1,0.663,0.659,3.1,4.9,0.644,13.4,2148,18.9,0.675,0.005,0.623,12.2,29.8,21.2,5.6,1.2,3.9,14.9,16.3,4.3,3.5,7.8,0.174,0,0.7,0.7,1.4,1,NA,NA,NA,NA,NA,NA,NA,0,7.8,4.9,3.3,8.3,11.6,1.2,0.8,1.4,1.7,3
"14","Khris Middleton",37984276,"SF",31,"MIL",33,19,24.3,5.4,12.3,0.436,1.5,0.315,3.8,0.516,0.499,2.8,3.1,0.902,15.1,801,17.4,0.551,0.399,0.251,3.8,14,9.1,30.7,1.4,0.5,13.6,27.4,1,1,1.9,0.117,1,-0.3,0.8,0.6,1,NA,NA,NA,NA,NA,NA,NA,4.9,7.4,3.1,0.8,3.4,4.2,4.9,0.7,0.2,2.2,2.1
"15","Anthony Davis",37980720,"C",29,"LAL",56,54,34,9.7,17.2,0.563,0.3,0.257,9.3,0.589,0.573,6.2,7.9,0.784,25.9,1904,27.8,0.627,0.077,0.462,11.3,27.6,19.7,13,1.5,5.1,9.5,28.4,5.5,3.4,9,0.226,4.6,1.7,6.3,4,1,NA,NA,NA,NA,NA,NA,NA,1.3,15.9,7.9,3.5,9.1,12.5,2.6,1.1,2,2.2,2.6
"16","Jimmy Butler",37653300,"PF",33,"MIA",64,64,33.4,7.5,13.9,0.539,0.6,0.35,6.9,0.564,0.56,7.4,8.7,0.85,22.9,2138,27.6,0.647,0.116,0.625,7.5,13.3,10.3,27.1,2.7,1,8.2,25.6,9.4,2.9,12.3,0.277,6.7,2,8.7,5.8,1,NA,NA,NA,NA,NA,NA,NA,1.6,12.3,8.7,2.2,3.7,5.9,5.3,1.8,0.3,1.6,1.3
"17","Tobias Harris",37633050,"SF",30,"PHI",74,74,32.9,5.7,11.4,0.501,1.7,0.389,4,0.57,0.575,1.5,1.7,0.876,14.7,2436,14.8,0.602,0.383,0.153,3.3,17,10.3,11.4,1.4,1.5,9,18.2,3.1,2.8,5.9,0.116,0.6,0.1,0.7,1.7,1,NA,NA,NA,NA,NA,NA,NA,4.4,7,1.7,0.9,4.8,5.7,2.5,0.9,0.5,1.2,2
"18","Kemba Walker",37281261,"PG",32,"DAL",9,1,16,2.7,6.3,0.421,0.8,0.25,1.9,0.586,0.482,1.9,2.3,0.81,8,144,15,0.543,0.491,0.368,2.4,10.6,6.5,20.1,0.7,1.2,5.7,22.1,0.2,0.1,0.3,0.098,0.3,-0.6,-0.3,0.1,1,NA,NA,NA,NA,NA,NA,NA,3.1,3.2,2.3,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2
